,date,group,turnover,cost
0,2011-05-03,0,1.0,0.005
1,2011-05-03,1,1.0,0.005
2,2011-05-03,2,1.0,0.005
3,2011-05-03,3,1.0,0.005
4,2011-05-03,4,1.0,0.005
5,2011-05-03,5,1.0,0.005
6,2011-05-03,6,1.0,0.005
7,2011-05-03,7,1.0,0.005
8,2011-05-03,8,1.0,0.005
9,2011-05-03,9,1.0,0.005
10,2012-05-02,0,1.0,0.005
11,2012-05-02,1,1.0,0.005
12,2012-05-02,2,0.9397590361445783,0.004698795180722892
13,2012-05-02,3,0.8862068965517241,0.004431034482758621
14,2012-05-02,4,0.8575539093019442,0.0042877695465097215
15,2012-05-02,5,0.8338200103358774,0.004169100051679387
16,2012-05-02,6,0.7884684711598986,0.003942342355799493
17,2012-05-02,7,0.8490554628595137,0.004245277314297568
18,2012-05-02,8,0.9234657950727468,0.004617328975363735
19,2012-05-02,9,0.7952335423331274,0.003976167711665637
20,2013-05-02,0,1.0,0.005
21,2013-05-02,1,0.9857360560600841,0.00492868028030042
22,2013-05-02,2,0.9371710171441869,0.004685855085720935
23,2013-05-02,3,0.8620062907931976,0.004310031453965988
24,2013-05-02,4,0.8383160863702246,0.004191580431851123
25,2013-05-02,5,0.8263406712921124,0.004131703356460562
26,2013-05-02,6,0.8379853500931516,0.004189926750465758
27,2013-05-02,7,0.8789250856275853,0.004394625428137926
28,2013-05-02,8,0.9084259370704696,0.0045421296853523484
29,2013-05-02,9,0.9354838709677419,0.004677419354838709
30,2014-05-05,0,1.0,0.005
31,2014-05-05,1,0.9670692744183368,0.004835346372091684
32,2014-05-05,2,0.9594907513967919,0.004797453756983959
33,2014-05-05,3,0.8757262883038719,0.004378631441519359
34,2014-05-05,4,0.8411784027807463,0.004205892013903732
35,2014-05-05,5,0.8101892046718231,0.004050946023359116
36,2014-05-05,6,0.8106389527344278,0.004053194763672139
37,2014-05-05,7,0.8511572382831526,0.004255786191415763
38,2014-05-05,8,0.9398496240601505,0.0046992481203007525
39,2014-05-05,9,0.9622641509433961,0.004811320754716981
40,2015-05-04,1,0.9999999999999999,0.004999999999999999
41,2015-05-04,2,0.9034425412473654,0.004517212706236827
42,2015-05-04,3,0.8678181486283763,0.004339090743141882
43,2015-05-04,4,0.8171025610454108,0.004085512805227054
44,2015-05-04,5,0.8113607289206499,0.00405680364460325
45,2015-05-04,6,0.8136405467647809,0.004068202733823904
46,2015-05-04,7,0.8509349800658531,0.004254674900329266
47,2015-05-04,8,0.8847942514607446,0.004423971257303723
48,2015-05-04,9,0.9368207002675072,0.004684103501337536
49,2016-05-03,0,1.0,0.005
50,2016-05-03,1,0.9722222222222222,0.004861111111111111
51,2016-05-03,2,0.9259539555935525,0.004629769777967763
52,2016-05-03,3,0.8378718114293411,0.004189359057146706
53,2016-05-03,4,0.8747471225345542,0.004373735612672771
54,2016-05-03,5,0.7971867177090937,0.003985933588545468
55,2016-05-03,6,0.8263697221467794,0.004131848610733897
56,2016-05-03,7,0.8614716584033999,0.004307358292017
57,2016-05-03,8,0.8999091012612126,0.004499545506306063
