,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,calmar,n_periods
0,1.1745923728213414,0.05424358301742993,0.37522920762523504,0.3155591730403424,0.5095053677051289,0.6815223510931467,0.07959178878055052,3706.0
1,0.6923271458590263,0.036421564400090256,0.2863683232703253,0.2690059617919415,0.36277981495443323,0.7631152303027686,0.04772747673459469,3706.0
2,0.5691764957112313,0.031110619279776097,0.2673969840470611,0.24845485542099027,0.3380428044404453,0.7536979182325795,0.04127730557188011,3706.0
3,0.1593972301918467,0.010107637660566882,0.2583620820264896,0.16898055100941628,0.22506978103805952,0.7571907290364095,0.013348866108582342,3706.0
4,0.11187621523154667,0.007237156949239987,0.2520718599885994,0.15558010826839733,0.20697630646047474,0.7426001574538803,0.0097456981076515,3706.0
5,0.01846752883613223,0.001245072045525264,0.24850448950684015,0.13025579807876214,0.17259503057645315,0.7342503999702248,0.001695704960563527,3706.0
6,0.1337708672358524,0.008573614370960936,0.2467804672571131,0.1590093705646778,0.2104496275968312,0.7085368423699322,0.01210044962839715,3706.0
7,0.2348590946618747,0.014447989444049902,0.24476922731186437,0.18197023804332874,0.24134772375712918,0.7071692463566903,0.020430737787998286,3706.0
8,0.24105122858491623,0.014793081610383396,0.24290989945461114,0.1829302433306327,0.241657493854557,0.6754119748791081,0.021902308754640023,3706.0
9,0.9338773493629076,0.04586721359445556,0.24037022070354674,0.3076524857723116,0.4106846014540579,0.6047771231238995,0.07584151556119431,3706.0
