signal,mean_spread,t_stat,positive_ratio,n_periods
f7_no_equity_offer,0.07773956697728046,3.999709747199115,0.9285714285714286,14
f4_accrual,0.052324030610842086,7.10311278042809,1.0,14
f2_cfo_positive,-0.001136946984548372,-0.07769257882504134,0.5,14
f9_delta_turnover,-0.0043427149352067785,-0.6543486982644421,0.5,14
f8_delta_margin,-0.011331035570610049,-1.871332833942826,0.35714285714285715,14
f3_delta_roa,-0.015329218003412508,-1.732447569655655,0.35714285714285715,14
f6_delta_liquid,-0.02664683211810744,-3.340979867446898,0.14285714285714285,14
f5_delta_lever,-0.0366859715224128,-6.491557232726982,0.14285714285714285,14
f1_roa_positive,-0.08003028728310772,-3.5832883106719207,0.21428571428571427,14
