,date,group,turnover,cost
0,2011-05-03,1,1.0,0.005
1,2011-05-03,2,1.0,0.005
2,2011-05-03,3,1.0,0.005
3,2011-05-03,4,1.0,0.005
4,2011-05-03,5,1.0,0.005
5,2011-05-03,6,1.0,0.005
6,2011-05-03,7,1.0,0.005
7,2011-05-03,8,1.0,0.005
8,2011-05-03,9,1.0,0.005
9,2012-05-02,1,1.0,0.005
10,2012-05-02,2,0.9468085106382979,0.004734042553191489
11,2012-05-02,3,0.8975903614457834,0.004487951807228917
12,2012-05-02,4,0.8967571457455715,0.004483785728727858
13,2012-05-02,5,0.870218733740215,0.004351093668701075
14,2012-05-02,6,0.8357724934327116,0.004178862467163558
15,2012-05-02,7,0.9083212312879807,0.004541606156439904
16,2012-05-02,8,0.9682986428553179,0.004841493214276589
17,2012-05-02,9,0.8641774640484434,0.004320887320242217
18,2013-05-02,0,1.0,0.005
19,2013-05-02,1,0.9758404013424201,0.0048792020067121005
20,2013-05-02,2,0.9627812302302958,0.004813906151151479
21,2013-05-02,3,0.8516293994122035,0.004258146997061018
22,2013-05-02,4,0.8628179445592253,0.004314089722796127
23,2013-05-02,5,0.8531440610741152,0.004265720305370576
24,2013-05-02,6,0.8710087746600437,0.004355043873300219
25,2013-05-02,7,0.896551724137931,0.004482758620689655
26,2013-05-02,8,1.0,0.005
27,2013-05-02,9,0.8982705564192943,0.0044913527820964715
28,2014-05-05,1,0.9582307004778122,0.004791153502389061
29,2014-05-05,2,0.9580571876691176,0.004790285938345588
30,2014-05-05,3,0.8835763766054785,0.004417881883027393
31,2014-05-05,4,0.8881396567398726,0.004440698283699363
32,2014-05-05,5,0.8414516802815257,0.004207258401407629
33,2014-05-05,6,0.8439170432500831,0.004219585216250416
34,2014-05-05,7,0.9230769230769231,0.004615384615384616
35,2014-05-05,8,0.9759036144578317,0.004879518072289158
36,2014-05-05,9,0.9999999999999999,0.004999999999999999
37,2015-05-04,1,0.9999999999999999,0.004999999999999999
38,2015-05-04,2,0.9569711999797739,0.00478485599989887
39,2015-05-04,3,0.8656830879969957,0.0043284154399849785
40,2015-05-04,4,0.8591187182704036,0.004295593591352018
41,2015-05-04,5,0.8782314102264284,0.004391157051132142
42,2015-05-04,6,0.8537499601767287,0.004268749800883644
43,2015-05-04,7,0.8429275388274626,0.004214637694137313
44,2015-05-04,8,0.9276373185869204,0.004638186592934602
45,2015-05-04,9,0.9519023373783198,0.004759511686891599
46,2016-05-03,0,1.0,0.005
47,2016-05-03,1,1.0000000000000002,0.005000000000000001
48,2016-05-03,2,0.9523809523809523,0.0047619047619047615
49,2016-05-03,3,0.8958783508039909,0.004479391754019955
