signal,mean_spread,t_stat,positive_ratio,n_periods
f7_no_equity_offer,0.04181196729225865,2.999343163116099,0.7857142857142857,14
f4_accrual,0.03792969627384287,3.981924180552934,0.9285714285714286,14
f9_delta_turnover,0.011193201589003651,1.5896421533342873,0.7142857142857143,14
f2_cfo_positive,0.011157487710077296,0.8799354007408771,0.6428571428571429,14
f3_delta_roa,-0.005553439780390996,-0.5860118765840684,0.35714285714285715,14
f8_delta_margin,-0.011082952094138123,-1.4013231725644222,0.2857142857142857,14
f6_delta_liquid,-0.023741680819170895,-2.90813362773614,0.21428571428571427,14
f5_delta_lever,-0.03585436354185632,-4.560921425505323,0.14285714285714285,14
f1_roa_positive,-0.05570530255889413,-2.4881033542770927,0.14285714285714285,14
