date,0,1,2,3,4,5,6,7,8,9
2011-05-05,1.0,1.0031088481322035,0.9939570387783208,1.0056103400917733,1.0024906780561469,1.0006743646057,1.0039678023510086,1.0012062414451954,1.0024769823841042,1.0003028250856951
2011-05-06,1.0,1.014139474683421,1.0029505787000899,1.00346144639472,1.0052358791398184,1.0044612745204868,0.9999943366853703,1.0046837886724844,1.0044972638881773,1.0011864404659037
2011-05-09,1.0,1.0170332830561342,1.0108745099387808,1.0071388085553925,1.0126405220909438,1.011515465223446,1.006688244694216,1.011790745481061,1.0107878567265163,1.0048544519813483
2011-05-10,1.0,1.0236522919194697,1.0171226441327976,1.010468795992679,1.0194994933218122,1.0180547826026491,1.0156182736281458,1.019804880277544,1.0131704045904877,1.0104913838416725
2011-05-11,1.0,1.0290210127027837,1.0173418253248245,1.014051322311314,1.0185403372469128,1.0045570296033177,1.0184387816886475,1.0210137786246312,1.0097532415178956,1.0125374389618547
2011-05-12,1.0,1.0217843505607918,1.013072309129345,1.006816562589084,1.0045715525016348,0.9932758983661222,1.0075531497837404,1.0056545495053555,0.9924189121343161,1.0018174312762609
2011-05-13,1.0,1.0550403856931234,1.0255678024172181,1.015456300015257,1.0156765145115982,1.0000698735731628,1.017044461296304,1.011164989907402,0.998041288188107,1.012417733287121
2011-05-16,1.0,1.0484693520491744,1.0311335658656662,1.0147493570428223,1.0115250847663226,1.0017069571577903,1.0126001175277122,1.0091101380405114,0.991879230790458,1.0072378334240144
2011-05-17,1.0,0.9687420698822965,1.017021640117703,1.0117501141696092,1.0097370079945795,0.9968349966321867,1.0061784046269107,1.0068964868537567,0.9924606075890655,0.9997542474406816
2011-05-18,1.0,0.9708938511384465,1.0207781130052946,1.0191388990113495,1.0169416978756443,1.0023452751463713,1.0114673029523173,1.0126433198527471,1.0011783568017862,1.0027449955083023
2011-05-19,1.0,0.9572914981064767,1.0122776849276052,1.0090768408116675,1.008180946968658,0.9842132386743307,1.0048349986588132,1.0070017851735256,0.9944526369011418,0.9925514417677449
2011-05-20,1.0,0.9533140289049861,1.0144192744357414,1.0049355653020067,1.004737407262982,0.9804894002805333,1.002916198588751,1.0045814475225756,0.9914615201496787,0.9898584985504676
2011-05-23,1.0,0.9162291227728825,0.9714933752829302,0.9596343700147102,0.9672121205530453,0.9413289310048785,0.9642267593867695,0.9654007000480311,0.9604352467757425,0.9623491129619234
2011-05-24,1.0,0.9157161892658652,0.9745760940573732,0.9487969091265431,0.9704156402175822,0.9436028395454575,0.9714389565726074,0.963835085089267,0.9610772658442295,0.9715907437963103
2011-05-25,1.0,0.9045192233405295,0.9665022384062864,0.9320146885200199,0.9548655592053756,0.9298803126925497,0.9659985847517155,0.950631484761423,0.9511679821531214,0.9536828413441023
2011-05-26,1.0,0.8973057362998598,0.9607960377480355,0.9237208339168942,0.9456308118513449,0.9225704029041963,0.9615470046864729,0.9435611299369041,0.9429667359857992,0.9399517434977486
2011-05-27,1.0,0.8853841965532341,0.92400295019326,0.9009539121915611,0.9223364688892254,0.9018628967107553,0.9307697895718493,0.919310456441737,0.9239109765571601,0.9183773471747849
2011-05-30,1.0,0.8755062826265226,0.8993246563678801,0.8894867559495199,0.9027801631567846,0.886879459706282,0.9162153583877102,0.902039069828527,0.9186836020100446,0.9074712741045216
2011-05-31,1.0,0.8849523342082953,0.9194306888474664,0.9066073338054846,0.9206403597313048,0.9050504242232783,0.9358909083104987,0.9236754161298137,0.9335505837423512,0.923022965612878
2011-06-01,1.0,0.8821886214795378,0.9293197572817106,0.9103159919272894,0.9268416903099108,0.909538484762285,0.9467269658450274,0.9310303009283508,0.9415228858817589,0.9257667714434338
2011-06-02,1.0,0.8647617821142293,0.9169818006095731,0.8956222466969411,0.9124561283512685,0.8947214118982483,0.9301666795618356,0.9171204716994291,0.9333043771402696,0.9077622367692408
2011-06-03,1.0,0.8755404278317048,0.9297529821496148,0.9074451945554882,0.9211554615970081,0.9019921860501023,0.9410662605106556,0.9327739885406882,0.9430360365165361,0.918338237200499
2011-06-07,1.0,0.8765720166517886,0.9379643977503773,0.9140347639547108,0.9306103009185337,0.9067918695968319,0.9513781607429117,0.9404503049231732,0.9431174733616923,0.9236566070261145
2011-06-08,1.0,0.891646878058773,0.9396028463123772,0.9160678501989016,0.9392579779506716,0.9114586647446722,0.9535692905321144,0.9436944068335168,0.9442177777265655,0.9282366606843876
2011-06-09,1.0,0.8704552590687364,0.9212470039824431,0.8936201275542242,0.9206805261912283,0.8922733099702749,0.9309648061874047,0.924907506379971,0.9222297660516856,0.9069305654531725
2011-06-10,1.0,0.8836507355049443,0.9226743901389357,0.897084562280614,0.9251839013353411,0.8900867105446151,0.9345067633610485,0.926912121530697,0.9333193129412221,0.9068890940686906
2011-06-13,1.0,0.884516272828036,0.9276173777847179,0.8953965494078482,0.9179807514656592,0.8843487424545314,0.9359138032724986,0.9249302630092876,0.9268288236955988,0.904202561869595
2011-06-14,1.0,0.9140892586370691,0.9411296609349749,0.9128414354227397,0.9324624065671179,0.8990053573790826,0.9459832678261294,0.9387258171954265,0.9397226976590499,0.9106538113464149
2011-06-15,1.0,0.908373367966604,0.9372381373913616,0.9057384587828918,0.9149300766860812,0.8917519130106456,0.9376454321933595,0.9348119370489629,0.9334920302595573,0.9034288168330368
2011-06-16,1.0,0.8969331905403921,0.9195175402032575,0.8907390986141134,0.8913194386100203,0.8742083266025078,0.9071512033588969,0.9107563766969227,0.8975113740139001,0.881235410890895
2011-06-17,1.0,0.8935452390955511,0.9063968597848352,0.8836953836506724,0.8815504744243129,0.8644633671306065,0.8977013565939019,0.9002514886889025,0.8847663303961345,0.8715135674832922
2011-06-20,1.0,0.8417774837657267,0.8966181998877549,0.8771651961920127,0.8767383711199129,0.8534358158562175,0.8910170045359096,0.889181767441058,0.8798924787552987,0.8608576743037959
2011-06-21,1.0,0.8500400129217539,0.910325098760143,0.8907060866724739,0.8901496288637533,0.8649888015572799,0.907465963209849,0.9061478283025876,0.8927171406076164,0.871030415902355
2011-06-22,1.0,0.8453077358519858,0.9069635796221652,0.8862318325516981,0.8888297138352779,0.8637114404417517,0.9032363614180218,0.9032159882437044,0.8940031248637799,0.8623977787680499
2011-06-23,1.0,0.8555620044503458,0.9196900465175581,0.9029663043252044,0.9040926442561308,0.8787084294615708,0.9201759747115409,0.9183435041487024,0.9058550099460758,0.8731487900225714
2011-06-24,1.0,0.8683266678041052,0.9200974299829369,0.9173428725305004,0.9231163830561715,0.8981795433160602,0.9350235419768966,0.9377956479936044,0.9247201927591933,0.8946828363143778
2011-06-27,1.0,0.8706421141551409,0.9276072392900898,0.9247146416494122,0.9326612405491355,0.9022376209206971,0.945396215547163,0.9470642185275565,0.928519751879474,0.8989234071007703
2011-06-28,1.0,0.8762295341983928,0.9303926291417247,0.92950719087997,0.9386382302615258,0.9011196544475215,0.9479846699861415,0.945658559978208,0.9286967217890681,0.8973580167282715
2011-06-29,1.0,0.868238064188123,0.9181592921828958,0.9169632782280231,0.9253979507669804,0.8907174805311936,0.9369654270231882,0.9325051266864133,0.9189158659654301,0.896154594043303
2011-06-30,1.0,0.8940144113086985,0.9292465224744697,0.9282700560065528,0.9357854792161029,0.9013214836833022,0.9501922044766965,0.9431045158792829,0.9269093304553614,0.9030407581076402
2011-07-01,1.0,0.8222926961971463,0.9350963519387431,0.9319105291251216,0.9404754043266951,0.9051030805908498,0.9551416949911549,0.9464847229352188,0.9275554153832474,0.907076993957917
2011-07-04,1.0,0.8317864351211794,0.9522741730176614,0.9509348506853643,0.9569510658500266,0.9234689957222542,0.97173285676079,0.9640421980160093,0.9463407589995876,0.923280344707587
2011-07-05,1.0,0.8273731924165555,0.9494964698730117,0.9550838119505582,0.9600410570799023,0.9263424346349298,0.9790229360825917,0.9708032424401084,0.9503973440126046,0.9299018651944403
2011-07-06,1.0,0.8192522025165823,0.948298133573681,0.9562057682070527,0.9609681885861926,0.9254607289516467,0.9804445779041644,0.9714272456590932,0.948129295222543,0.9317809936907451
2011-07-07,1.0,0.8172138249944789,0.9435003777699875,0.9487953028701599,0.9573839538589427,0.9124115305369803,0.9776198704397817,0.9701571454609657,0.9405991149141524,0.9337154772676751
2011-07-08,1.0,0.8210148483493692,0.945965748454241,0.9462024542925779,0.9581153357900196,0.914230367859384,0.9796426534160599,0.9657793001587835,0.9379087611758723,0.9392704878992325
2011-07-11,1.0,0.8189227738018303,0.9533280675129017,0.9383200712229813,0.9640503841877085,0.9169282369356361,0.9875701108735235,0.9747307886864663,0.9444611570296182,0.9516905011302972
