,total_return,annual_return,annual_vol,sharpe,sortino,max_drawdown,calmar,n_periods
0,0.06432292825430053,0.004247904029414329,0.15200006957822826,0.10355107831469128,0.15229775752719749,0.5367095198525218,0.007914717127770674,3706.0
1,7.734113894761984,0.15877962435176984,0.34624196712685223,0.5993142629521917,0.8594997092181625,0.6797906786561162,0.23357134679407873,3706.0
2,1.9219363323790652,0.07563420850086966,0.2782786986477199,0.4022353993567216,0.5429437334995703,0.7053127615823146,0.10723499221989145,3706.0
3,0.7686370988462028,0.03953448052672481,0.2470300370269873,0.2813699926881247,0.3768455557088438,0.6863827594650727,0.057598300629718206,3706.0
4,0.6471460814014798,0.03451624822598931,0.24585097161007763,0.26213048249563964,0.3466607590628585,0.6814690705172548,0.050649764925927564,3706.0
5,1.0289308934593784,0.04928511012297987,0.24172187760672573,0.3209797969966893,0.4270410871757792,0.6384023677720226,0.07720070070382302,3706.0
6,0.8327335830764604,0.04205390890406724,0.24186402691959766,0.292409866974603,0.3870269402665066,0.619064071105876,0.06793143208738232,3706.0
7,0.9587094283874951,0.046774972973456785,0.23788802381012955,0.3121541498192112,0.41500450165041114,0.6409552888119923,0.07297696702082604,3706.0
8,1.5156134650377502,0.06473840932766062,0.24086454424714082,0.3819463491651318,0.5096392376383755,0.5695031511826014,0.11367524339984443,3706.0
9,0.84808473951325,0.04264511337565202,0.23806970521041634,0.2951293828805271,0.402174671348074,0.5992510764549843,0.07116401630503456,3706.0
